[2023-06-22T10:29:48.302] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:32:25.750] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:32:35.712] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:32:43.265] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:36:02.160] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:36:47.883] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:37:14.604] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:41:05.311] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T10:41:05.354] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T10:41:05.358] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T10:41:05.362] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T10:41:05.364] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T10:41:06.072] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-22T10:42:03.975] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T10:42:04.017] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T10:42:04.021] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T10:42:04.025] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T10:42:04.034] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T10:42:04.306] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-22T10:47:03.041] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-22T10:47:30.637] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:50:20.535] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:51:08.461] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:51:38.189] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:53:10.774] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:53:33.587] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T10:54:13.049] [FATAL] GET - Remote: undefined, path: /favicon.ico
[2023-06-22T10:58:47.592] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:02:30.837] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:03:06.669] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:04:45.712] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:05:57.884] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:07:17.637] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:10:38.568] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:11:21.714] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:11:36.626] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:14:18.424] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:15:06.876] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:15:35.380] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:16:04.521] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:16:58.354] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:18:22.936] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:18:48.666] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:26:15.048] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:26:48.192] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:27:20.391] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:28:33.889] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:29:30.018] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:31:39.338] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:32:32.600] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:32:42.704] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:32:56.546] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:35:19.542] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:37:23.196] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:37:54.684] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:39:23.124] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:39:54.968] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:43:03.844] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:45:13.246] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:46:04.778] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:47:12.936] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:47:30.797] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:56:16.704] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:57:26.399] [FATAL] GET - Remote: undefined, path: //static//avartar//avatar-default-image-male.png
[2023-06-22T11:57:59.374] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T11:58:40.893] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T12:00:15.284] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:33:31.938] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:34:40.042] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:50:21.149] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T13:50:21.190] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T13:50:21.196] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T13:50:21.205] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T13:50:21.208] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T13:50:21.801] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-22T13:50:44.896] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-22T13:51:54.000] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T13:51:54.042] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T13:51:54.046] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T13:51:54.050] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T13:51:54.057] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
